gene_symbol,Ppm1j
parameter_id,IMPC_XRY_066_001
parameter_name,Sacral processes
pvalue,0.3828501
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,hgz7la6lg90z62u
gene_accession_id,MGI:1919137
