analysis_id,78uscaqi52bf6t1
parameter_id,IMPC_IMM_069_001
mouse_life_stage,Early adult
parameter_name,Transitional B Cells (CD21/35 low)
gene_symbol,Fpgs
mouse_strain,C57BL
gene_accession_id,MGI:95576
pvalue,0.1179552
