parameter_name,Fractional Shortening
gene_symbol,Etfdh
pvalue,0.168643
gene_accession_id,MGI:106100
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,ic1nu986tp9rg2n
parameter_id,IMPC_ECH_005_001
