analysis_id,x5633u77b851e50
gene_symbol,Cds2
mouse_strain,C57BL
gene_accession_id,MGI:1332236
parameter_name,Startle response
mouse_life_stage,Early adult
pvalue,0.9723584
parameter_id,ESLIM_008_001_013
