analysis_id,lr2xc3626kt1h57
mouse_strain,C57BL
pvalue,0.1750598
mouse_life_stage,E15.5
parameter_id,HRWLLA_CBC_014_001
gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_name,Alkaline phosphatase
