parameter_name,Lean mass
parameter_id,IMPC_DXA_003_001
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
pvalue,0.4866927
analysis_id,757n90yjhe3k4ew
