gene_symbol,Traf6
gene_accession_id,MGI:108072
pvalue,0.6230216
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4wd1h1f16s280g0
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
