gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Late adult
pvalue,0.9868592
analysis_id,a3u52hliy83rn2m
parameter_name,Center average speed
gene_accession_id,MGI:2446274
