gene_symbol,Mgst2
parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
pvalue,0.9375981
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
analysis_id,87fyo744ep685d9
parameter_id,IMPC_IPG_010_001
