analysis_id,w6hy235673f970n
gene_symbol,Ift74
parameter_name,Zygomatic bone
pvalue,0.3536791
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
