analysis_id,9b944e17924pjvd
parameter_name,Neutrophil differential count
gene_accession_id,MGI:1338022
gene_symbol,Opn3
pvalue,0.953039
mouse_strain,C57BL
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
