analysis_id,8m5io557d4b95sr
gene_symbol,Ahctf1
pvalue,0.3224801
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
parameter_name,Time mobile light side
