parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
analysis_id,21635q39o1ktb6m
mouse_strain,C57BL
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_name,Hindlimbs - shape
pvalue,0.2619632
