parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
gene_symbol,Fpgs
mouse_life_stage,Early adult
pvalue,0.6616015
parameter_name,% Freezing duration pre-cue-2
analysis_id,j505v6wh30o1qrc
gene_accession_id,MGI:95576
