parameter_name,Periphery average speed
analysis_id,239y84jts5b8325
parameter_id,ESLIM_007_001_009
mouse_life_stage,Late adult
pvalue,0.6467748
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
