analysis_id,44g5v801ko8t594
parameter_name,DN CD25- NKT cells
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_025_001
pvalue,0.4223058
gene_accession_id,MGI:2446274
