analysis_id,6r8a4555qfup3qg
gene_accession_id,MGI:2684980
pvalue,0.9700123
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Mms22l
