parameter_name,Number of centre entries
gene_symbol,Lime1
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1919949
pvalue,0.8832478
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7r91xzgd795f77z
