parameter_name,Facial Morphology
gene_accession_id,MGI:1914071
pvalue,0.08550133
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Bcs1l
analysis_id,kf709vh697h1irj
parameter_id,IMPC_GEP_017_001
