gene_symbol,Traf6
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of CD45+
analysis_id,o852t2pz60f58xi
parameter_id,MGP_IMM_129_001
pvalue,0.9788436
mouse_strain,C57BL
gene_accession_id,MGI:108072
