gene_symbol,Gpa33
pvalue,0.203482
parameter_id,JAXLA_CSD_041_002
analysis_id,5veh8x20349cx2p
gene_accession_id,MGI:1891703
mouse_life_stage,Early adult
parameter_name,Hindpaw - size
mouse_strain,C57BL
