analysis_id,1x8jrd4646t3yd5
pvalue,0.5931019
parameter_name,Embryo turning
gene_accession_id,MGI:1915087
parameter_id,IMPC_GEL_011_001
mouse_life_stage,E12.5
gene_symbol,Tiprl
mouse_strain,C57BL
