gene_symbol,S100a3
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
pvalue,0.1295472
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
analysis_id,5rejli6j810782i
gene_accession_id,MGI:1338849
