analysis_id,q27krc6m8416j8t
pvalue,0.8536493
parameter_name,DN CD44+CD62L+ NKT cells
mouse_life_stage,Early adult
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_strain,129SV
parameter_id,IMPC_IMM_047_001
