pvalue,5.15042e-09
gene_accession_id,MGI:1913576
analysis_id,ygz9iat01l0g50b
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
parameter_id,IMPC_ECG_008_001
parameter_name,ST
mouse_strain,C57BL
