gene_symbol,Med22
mouse_strain,C57BL
analysis_id,927vlv92v32g5ag
gene_accession_id,MGI:98446
parameter_name,Fat mass
mouse_life_stage,Early adult
pvalue,0.4745221
parameter_id,IMPC_DXA_002_001
