analysis_id,l4h305hwb1qq71m
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.4443129
mouse_strain,C57BL
