analysis_id,r7we6165sh8f90s
pvalue,0.8803315
parameter_name,Glucose response AUC
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
mouse_strain,C57BL
gene_symbol,Cmpk1
parameter_id,ESLIM_004_001_701
