gene_symbol,Nipal3
analysis_id,6p7n7m6943z4zz1
parameter_name,Tibia length
mouse_strain,129SV
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
pvalue,0.3800284
