parameter_name,MZB (CD21/35 high)
analysis_id,71m479253h60201
parameter_id,IMPC_IMM_071_001
pvalue,0.5624376
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
gene_symbol,Rab17
