parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:1915678
parameter_name,Eye
mouse_life_stage,Early adult
pvalue,0.7907007
gene_symbol,Steap3
analysis_id,h9ids0ths943t27
mouse_strain,C57BL
