gene_symbol,Zfp683
parameter_name,KLRG1+ mature NK cell number
gene_accession_id,MGI:3650254
analysis_id,92h21p5ta4336sv
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
mouse_life_stage,Early adult
pvalue,0.8362688
