analysis_id,f8f037p3b0r2736
mouse_strain,C57BL
parameter_name,Forebrain
pvalue,0.9810233
gene_symbol,Usp37
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_028_001
