parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:1914583
pvalue,0.4714381
parameter_name,Liver weight
mouse_life_stage,Early adult
gene_symbol,Stk35
mouse_strain,C57BL
analysis_id,e1gkq9w80468366
