analysis_id,83vh9lkxr5cuc5a
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_strain,C57BL
parameter_id,JAX_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0
mouse_life_stage,Early adult
