parameter_name,Limb morphology
mouse_strain,C57BL
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
analysis_id,9nd4g9800c0n54v
pvalue,0.741379
parameter_id,IMPC_GEP_084_001
gene_symbol,Snap23
