analysis_id,2441ey4wyr8ad75
parameter_id,IMPC_OFD_020_001
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
gene_accession_id,MGI:104848
mouse_strain,C57BL
pvalue,0.2243343
gene_symbol,Inpp1
