analysis_id,ow9yfyu40i9nxf2
mouse_life_stage,Early adult
gene_symbol,Nanp
parameter_name,Weight
pvalue,0.2027796
mouse_strain,C57BL
gene_accession_id,MGI:1914561
parameter_id,M-G-P_005_001_001
