gene_symbol,Stk35
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
pvalue,0.7185357
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
analysis_id,lkc16h71if15244
