analysis_id,7k1um3251kw139c
mouse_strain,C57BL
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
pvalue,0.0831377
mouse_life_stage,Early adult
parameter_name,Femur
parameter_id,IMPC_XRY_024_001
