parameter_name,Distance travelled - total
parameter_id,JAX_OFD_020_001
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
pvalue,0.5183956
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,bln29484sd860e2
