gene_symbol,Mms22l
parameter_name,18kHz-evoked ABR Threshold
analysis_id,z15t4mfs5cs6o4m
mouse_life_stage,Early adult
pvalue,0.7027957
gene_accession_id,MGI:2684980
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
