analysis_id,65f5728f55d9w1a
parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
mouse_life_stage,Late adult
gene_symbol,Frmpd1
pvalue,0.6455572
gene_accession_id,MGI:2446274
mouse_strain,C57BL
