parameter_name,Startle response
parameter_id,ESLIM_008_001_013
gene_accession_id,MGI:1921802
pvalue,0.4227722
mouse_strain,129SV
analysis_id,c9f1r9ktn9m19wk
mouse_life_stage,Early adult
gene_symbol,Nipal3
