gene_symbol,Mms22l
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:2684980
mouse_strain,C57BL
parameter_id,MGP_MLN_031_001
analysis_id,0s9t1qh3269504h
mouse_life_stage,Early adult
pvalue,0.6939486
