gene_symbol,Grem2
analysis_id,d0yl119vi7p8pa5
pvalue,0.327295
parameter_name,Center average speed
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_accession_id,MGI:1344367
parameter_id,JAXLA_OFD_017_001
