gene_symbol,Marchf7
pvalue,0.2770751
gene_accession_id,MGI:1931053
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_064_001
parameter_name,Thoracic processes
mouse_strain,C52BL
analysis_id,y9na86216jq0ou0
