gene_symbol,AU040320
parameter_name,Percentage center time
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.318219
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:2140475
analysis_id,5t36l396481mzd8
