parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
analysis_id,41td44omif2v5c1
pvalue,0.5731653
mouse_strain,C57BL
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
