parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:1919949
gene_symbol,Lime1
mouse_strain,C57BL
analysis_id,sbq7od9s4ff3wvv
mouse_life_stage,Early adult
pvalue,0.6718186
