gene_symbol,Ilkap
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1914694
pvalue,0.7464506
parameter_name,Mean-cell-volume
analysis_id,v923xxh2s14thg1
