gene_symbol,Maco1
parameter_name,eye size
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8e1ymt39fw62ad9
pvalue,0.4030774
parameter_id,ESLIM_001_001_117
