parameter_name,Whole arena resting time
mouse_strain,C57BL
gene_accession_id,MGI:3033992
parameter_id,HRWLLA_OFD_007_001
analysis_id,t28003q7srqdp8k
mouse_life_stage,Early adult
pvalue,0.8835733
gene_symbol,Cldn19
