mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109128
parameter_id,MGP_IMM_006_001
gene_symbol,Hnf4a
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.8657512
analysis_id,2561a5y663z5ttb
