analysis_id,bjrwwc4ih8g80y9
pvalue,0.1622202
parameter_name,% Pre-pulse inhibition - PPI2
mouse_strain,129SV
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_id,IMPC_ACS_034_001
mouse_life_stage,Early adult
