gene_symbol,Ntmt2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
gene_accession_id,MGI:2685053
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.7706252
analysis_id,42t6s4xom1u4oxz
