parameter_name,Percentage center time
analysis_id,98v8eefqn8u8ol2
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
pvalue,0.9329709
mouse_strain,C57BL
gene_symbol,Mecom
parameter_id,IMPC_OFD_022_001
