parameter_name,Neutrophil differential count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
gene_accession_id,MGI:1921688
analysis_id,49sl10svvaw4s9u
gene_symbol,Clvs1
pvalue,0.281011
