parameter_name,Vibrissae - appearance
gene_symbol,Zfp683
analysis_id,zx6m30ji487o08m
pvalue,0.6639328
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
