parameter_name,cDCs CD11b Type
pvalue,0.2131502
parameter_id,IMPC_IMM_073_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
analysis_id,8lsk9r075n63229
gene_symbol,Sema6c
