analysis_id,5lg73vwnle09nh8
parameter_id,MGP_IMM_089_001
pvalue,0.2475381
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_strain,C57BL
