parameter_name,Basophil differential count
pvalue,0.3494788
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_id,IMPC_HEM_038_001
mouse_life_stage,Early adult
analysis_id,630350zk948xr2h
mouse_strain,C57BL
