analysis_id,08h287axc31u0l9
gene_accession_id,MGI:1341628
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
mouse_life_stage,Early adult
pvalue,0.3864734
gene_symbol,Atrn
