analysis_id,4g3ce7n1m0bh4be
parameter_id,MGP_IMM_011_001
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.2016319
gene_accession_id,MGI:1345282
parameter_name,Resting Treg cells - % of Treg
